"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contract","DELETE/cats/{id} Forbidden","0","0","1","0","0"
"","Contract","POST/auth/login wrong credentials","0","0","1","0","0"
"","Contract","DELETE/cats/{id} authorized","0","0","1","0","0"
"","API","DELETE/users/{id} delete own page","0","0","1","0","0"
"","API","GET/cats/{id}","0","0","1","0","0"
"","Contract","DELETE/users/{id} Unauthorized","0","0","1","0","0"
"","","","0","0","1","0","0"
"","Contract","POST/cats/{id}/chip unauthorized","0","0","1","0","0"
"","API","PATCH/cats/{id}","0","0","1","0","0"
"","Contract","PATCH /cats/{id}/adopt invalid user's Id format","0","0","3","0","0"
"","Contract","POST/auth/login invalid payload","0","0","4","0","0"
"","Contract","POST/cats/{id}/health-card invalid payload","0","0","7","0","0"
"","API","GET/stats/summary","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip Boundary breed's values","0","0","3","0","0"
"","Contract","PATCH/cats/{id}/health-card invalid payload","0","0","7","0","0"
"","Contract","GET/cats/{id} invalid Id format","0","0","3","0","0"
"","Contract","DELETE/users/{id} delete your own page","0","0","1","0","0"
"","API","POST/users/{id}/make-admin","0","0","2","0","0"
"","Contract","POST/cats/{id}/chip repeat chipping","0","0","1","0","0"
"","Contract","GET/users/{id}/cats","0","0","1","0","0"
"","API","PATCH/cats/{id}/adopt Multuple cats","0","0","1","0","0"
"","Contract","DELETE/users/{id} delete by admin","0","0","1","0","0"
"","API","POST/cats/{id}/chip success","0","0","1","0","0"
"","API","DELETE/cats/{id} delete adopted cat","0","0","1","0","0"
"","Contract","PATCH/cats/{id}/adopt Unauthorized","0","0","1","0","0"
"","Contract","GET/users/{id}","0","0","1","0","0"
"","End-to-End","Register user and adopt cat","0","0","1","0","0"
"","Contract","GET/users/{id} Unauthorized","0","0","1","0","0"
"","API","DELETE/cats/{id}","0","0","1","0","0"
"","End-to-End","Admin's rights","0","0","1","0","0"
"","Contract","PATCH/cats/{id}/adopt already adopted cat","0","0","1","0","0"
"","Contract","POST/cats Unauthorized","0","0","1","0","0"
"","Contract","PATCH /cats/{id}/adopt invalid cat's id format","0","0","3","0","0"
"","API","GET/users/{id}/cats","0","0","2","0","0"
"","Contract","PATCH/cats/{id}/health-card unauthorized","0","0","1","0","0"
"","Contract","GET/users","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip Invalid api-key","0","0","1","0","0"
"","Contract","POST/auth/register success","0","0","1","0","0"
"","API","DELETE/users/{id} check user-cat relation dependencies","0","0","1","0","0"
"","API","GET/users/{id}","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip empty api-key","0","0","1","0","0"
"","API","POST/external-api/roskot/register-chip Response delay","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip Internal Server Error","0","0","1","0","0"
"","Contract","POST/users/{id}/make-admin forbidden","0","0","1","0","0"
"","Contract","GET/cats/{id}","0","0","1","0","0"
"","Contract","POST/auth/login success","0","0","1","0","0"
"","Contract","POST/cats/{id}/chip Network Timeout","0","0","1","0","0"
"","Contract","DELETE/users/{id} forbidden","0","0","1","0","0"
"","End-to-End","Statistics","0","0","1","0","0"
"","Contract","PATCH/cats/{id}/adopt authorized","0","0","1","0","0"
"","API","POST/external-api/roskot/register-chip","0","0","1","0","0"
"","Contract","PATCH/cats/{id} authorized","0","0","1","0","0"
"","Contract","PATCH/cats/{id} invalid payload","0","0","1","0","0"
"","Contract","POST/cats/{id}/health-card repeated creation","0","0","1","0","0"
"","Contract","POST/cats/{id}/chip forbidden","0","0","1","0","0"
"","API","PATCH/cats/{id}/adopt","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip success","0","0","1","0","0"
"","Contract","PATCH/cats/{id}/health-card success","0","0","1","0","0"
"","API","GET/stats/breeds","0","0","1","0","0"
"","API","POST/cats/{id}/health-card","0","0","1","0","0"
"","End-to-End","Create and update health card","0","0","1","0","0"
"","Contract","POST/users/{id}/make-admin unauthorized","0","0","1","0","0"
"","Contract","PATCH/cats/{id} duplicate name","0","0","1","0","0"
"","API","POST/auth/login","0","0","1","0","0"
"","Contract","PATCH/cats/{id} Unauthorized","0","0","1","0","0"
"","Contract","GET/stats/summary Unauthorized","0","0","1","0","0"
"","API","GET/users","0","0","1","0","0"
"","End-to-End","Access to delete user's profile","0","0","1","0","0"
